practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,2639.015821545789,-5.0,4.344455436419077e-05,False,0.009309966582804918,None,None,0,,321.5673402999528,322.5727869999828,None,1,322.5727869999828,321.5673402999528,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,125.0,22.0,0.00909850429304992,False,0.0013618333032354712,None,['space'],1,[0.4526769999647513],325.7404659000458,326.746146599995,None,1,326.746146599995,325.7404659000458,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.013876033248379827,None,None,0,,328.7107914000517,329.71565340005327,None,1,329.71565340005327,328.7107914000517,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,466.5164957684038,16.0,0.0004615806072703714,False,0.007888599997386336,0.2002620999701321,['space'],1,[0.552811799920164],332.4076929000439,333.41751070006285,None,1,333.41751070006285,332.4076929000439,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,1515.7165665103996,4.0,7.865869131234175e-05,False,0.0033597666770219803,0.19126476673409343,['space'],1,[0.5157376000424847],337.309069299954,338.3180646999972,None,1,338.3180646999972,337.309069299954,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,233.2582478842019,15.0,0.0011262740412183963,False,0.009276333497837186,None,None,0,,342.2007445000345,343.19977589999326,None,1,343.19977589999326,342.2007445000345,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,1071.7734625362941,11.0,0.00016695574131143172,False,0.0018190332921221852,None,None,0,,346.2304283999838,347.23164889996406,None,1,347.23164889996406,346.2304283999838,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.0105908332625404,0.2049538332503289,None,0,,349.28358819999266,350.29632269998547,None,1,350.29632269998547,349.28358819999266,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,4000.0,-2.0,6.667607160816621e-05,False,0.01347489992622286,None,None,0,,354.52912239998113,355.54401279997546,None,1,355.54401279997546,354.52912239998113,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,615.5722066724584,12.0,0.0002126505006947758,False,0.01400720002129674,None,None,0,,359.68410690000746,360.707019799971,None,1,360.707019799971,359.68410690000746,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,8000.0,-3.0,0.00012851978913844324,False,0.007187333423644304,0.2003302334342152,['space'],1,[0.6114751000422984],364.3657768999692,365.384224700043,None,1,365.384224700043,364.3657768999692,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.014045733376406133,None,None,0,,367.3514649999561,368.3672237000428,None,1,368.3672237000428,367.3514649999561,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
,,,,61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,1866.0659830736151,-3.0,4.868135812041065e-05,False,0.015522533329203725,None,None,0,,371.784242899972,372.8076068999944,None,1,372.8076068999944,371.784242899972,,rdzaqd,001,fr,200,2022-05-06_14h06.54.932,Bayesian,2022.1.1,None,
